"Frequency","Prob.","C","D","E","F"
9192631826.799999,0.08,56.587,61.487,0.068,0.128
9192631827,0.079,57.456,62.4,0.065,0.116
9192631827.200001,0.08,57.334,62.34,0.07000000000000001,0.131
9192631827.4,0.082,55.84,60.802,0.068,0.127
9192631827.6,0.08,57.513,62.547,0.076,0.126
9192631827.799999,0.079,58.036,63.041,0.073,0.115
9192631828,0.074,60.739,65.601,0.07199999999999999,0.105
9192631828.200001,0.077,58.648,63.538,0.068,0.114
9192631828.4,0.077,58.303,63.167,0.068,0.112
9192631828.6,0.083,57.662,62.89,0.066,0.128
9192631828.799999,0.083,54.509,59.432,0.075,0.132
9192631829,0.077,55.957,60.649,0.06900000000000001,0.118
9192631829.200001,0.079,57.945,62.904,0.067,0.122
9192631829.4,0.082,56.416,61.432,0.066,0.125
9192631829.6,0.078,56.326,61.121,0.067,0.112
9192631829.799999,0.078,59.041,64.051,0.066,0.12
9192631830,0.075,59.558,64.383,0.06900000000000001,0.103
