Detuning_Normalizado,P2_Curva_A,P2_Curva_B
1.543307086614172485e+00,4.058004571718376585e-01,4.757532316718239285e-01
1.606299212598428339e+00,6.526536723350997438e-01,7.890242125861076650e-01
1.669291338582679529e+00,7.936661016801838109e-01,9.590512329670547453e-01
1.732283464566930942e+00,7.665571297572739695e-01,9.065499465760971098e-01
1.795275590551182132e+00,5.893092810916357172e-01,6.576524237214645963e-01
1.858267716535433545e+00,3.486980193936535244e-01,3.304589948881674899e-01
1.921259842519684735e+00,1.572136904245230449e-01,7.844325994915382627e-02
1.984251968503936148e+00,9.979790324455430073e-02,1.792089148966843209e-02
2.047244094488192001e+00,1.956905582318521075e-01,1.739383330592359500e-01
2.110236220472443414e+00,3.925098798757709062e-01,4.697728421241877950e-01
2.173228346456694382e+00,5.938435626111810972e-01,7.643333420949134371e-01
2.236220472440945795e+00,7.059177839848306268e-01,9.191582974178988952e-01
2.299212598425197207e+00,6.807111055713089831e-01,8.631005492862868778e-01
2.362204724409448175e+00,5.356761483065852758e-01,6.244232757716435822e-01
2.425196850393704029e+00,3.421564942300175938e-01,3.158615625385311487e-01
2.488188976377955441e+00,1.895737528242994185e-01,8.051811899386659976e-02
2.551181102362206854e+00,1.433264985642880851e-01,2.464629638973553361e-02
2.614173228346458266e+00,2.162338594247716905e-01,1.689748094078756535e-01
2.677165354330709235e+00,3.659027768366269751e-01,4.408865833066751283e-01
2.740157480314960647e+00,5.176327548375202481e-01,7.101894883954743554e-01
2.803149606299212060e+00,6.006748622578942376e-01,8.508140706309345047e-01
2.866141732283467913e+00,5.802719370577416047e-01,7.991117455720436746e-01
2.929133858267718882e+00,4.710221423021015430e-01,5.817430491443014162e-01
2.992125984251970294e+00,3.267152937838266880e-01,3.009973951133358971e-01
3.055118110236221707e+00,2.129817359183741599e-01,8.550455541184159847e-02
3.118110236220473119e+00,1.765572000357136240e-01,3.015217707134646569e-02
3.181102362204724088e+00,2.255061767304200049e-01,1.533444742058122645e-01
3.244094488188975500e+00,3.286197475837620563e-01,3.908533386251665243e-01
3.307086614173231354e+00,4.327534965935479483e-01,6.279630417988244506e-01
3.370078740157482766e+00,4.887306043677434597e-01,7.538289986277676435e-01
3.433070866141733735e+00,4.732684532925780507e-01,7.122297686063396860e-01
