"Frequency","Prob.","C","D","E","F"
9192631709.6,0.076,58.474,63.284,0.057,0.095
9192631709.799999,0.074,59.142,63.839,0.063,0.09
9192631710,0.076,53.078,57.432,0.064,0.094
9192631710.200001,0.076,55.431,59.969,0.064,0.091
9192631710.4,0.076,61.667,66.715,0.065,0.092
9192631710.6,0.075,60.73,65.676,0.066,0.089
9192631710.799999,0.077,57.492,62.254,0.065,0.094
9192631711,0.076,63.204,68.392,0.073,0.095
9192631711.200001,0.077,64.193,69.53,0.066,0.092
9192631711.4,0.077,60.031,65.041,0.065,0.091
9192631711.6,0.079,62.984,68.392,0.061,0.099
9192631711.799999,0.078,61.248,66.43300000000001,0.065,0.096
9192631712,0.077,63.94,69.27200000000001,0.067,0.093
9192631712.200001,0.073,64.79300000000001,69.91200000000001,0.058,0.092
9192631712.4,0.078,65.473,70.991,0.065,0.094
9192631712.6,0.077,61.948,67.13800000000001,0.066,0.097
9192631712.799999,0.077,62.279,67.45099999999999,0.064,0.092
9192631713,0.077,62.086,67.26600000000001,0.07099999999999999,0.098
9192631713.200001,0.075,66.875,72.315,0.065,0.095
9192631713.4,0.074,63.042,68.089,0.06,0.089
9192631713.6,0.076,64.771,70.081,0.065,0.092
9192631713.799999,0.074,68.13200000000001,73.617,0.062,0.094
9192631714,0.076,67.907,73.49299999999999,0.061,0.094
9192631714.200001,0.076,68.45,74.09999999999999,0.06900000000000001,0.096
9192631714.4,0.074,66.81399999999999,72.16800000000001,0.062,0.093
9192631714.6,0.077,64.358,69.723,0.059,0.099
9192631714.799999,0.075,68.387,73.907,0.063,0.094
9192631715,0.073,64.96599999999999,70.089,0.066,0.09
9192631715.200001,0.075,68.863,74.408,0.064,0.092
9192631715.4,0.074,69.33799999999999,74.884,0.064,0.091
9192631715.6,0.075,71.31100000000001,77.072,0.059,0.095
9192631715.799999,0.074,71.479,77.21299999999999,0.051,0.094
9192631716,0.074,70.041,75.631,0.074,0.096
9192631716.200001,0.075,66.45999999999999,71.857,0.067,0.094
9192631716.4,0.073,72.596,78.312,0.065,0.096
9192631716.6,0.077,67.444,73.053,0.07000000000000001,0.102
9192631716.799999,0.076,72.92100000000001,78.926,0.063,0.097
9192631717,0.07099999999999999,73.502,79.148,0.062,0.09
9192631717.200001,0.075,72.264,78.096,0.068,0.096
9192631717.4,0.075,70.29600000000001,76.018,0.062,0.096
9192631717.6,0.073,69.233,74.648,0.061,0.091
9192631717.799999,0.075,72.486,78.39100000000001,0.067,0.098
9192631718,0.073,69.10899999999999,74.51900000000001,0.061,0.093
9192631718.200001,0.075,71.614,77.43899999999999,0.062,0.1
9192631718.4,0.075,70.999,76.724,0.064,0.095
9192631718.6,0.07099999999999999,68.39700000000001,73.652,0.056,0.08799999999999999
9192631718.799999,0.074,71.129,76.821,0.062,0.097
9192631719,0.075,72.917,78.828,0.065,0.095
9192631719.200001,0.075,71.42,77.215,0.063,0.098
9192631719.4,0.076,69.411,75.128,0.062,0.1
9192631719.6,0.075,72.71899999999999,78.63,0.058,0.099
9192631719.799999,0.076,71.012,76.864,0.061,0.101
9192631720,0.076,71.045,76.869,0.056,0.1
9192631720.200001,0.079,72.01000000000001,78.17100000000001,0.066,0.101
9192631720.4,0.076,73.82899999999999,79.88,0.062,0.096
9192631720.6,0.076,69.614,75.363,0.063,0.098
9192631720.799999,0.078,71.649,77.72,0.063,0.103
9192631721,0.077,71.116,77.068,0.063,0.103
9192631721.200001,0.074,71.15000000000001,76.81999999999999,0.064,0.093
9192631721.4,0.075,69.23099999999999,74.84099999999999,0.07199999999999999,0.104
9192631721.6,0.073,70.563,76.151,0.063,0.09
9192631721.799999,0.077,71.17,77.08199999999999,0.057,0.098
9192631722,0.074,69.80800000000001,75.351,0.06900000000000001,0.092
9192631722.200001,0.076,66.78,72.312,0.066,0.095
9192631722.4,0.077,71.848,77.834,0.064,0.097
9192631722.6,0.077,70.063,75.931,0.064,0.1
9192631722.799999,0.077,68.90900000000001,74.666,0.066,0.098
9192631723,0.077,71.438,77.43000000000001,0.06,0.098
9192631723.200001,0.075,68.062,73.596,0.062,0.095
9192631723.4,0.077,67.23999999999999,72.818,0.06900000000000001,0.098
9192631723.6,0.073,68.291,73.66,0.063,0.08699999999999999
9192631723.799999,0.076,65.58799999999999,71.001,0.064,0.097
9192631724,0.074,66.086,71.39400000000001,0.061,0.092
9192631724.200001,0.078,67.339,73.05500000000001,0.07000000000000001,0.101
9192631724.4,0.08,64.467,70.06399999999999,0.073,0.099
9192631724.6,0.077,64.476,69.845,0.064,0.098
9192631724.799999,0.076,61.03,66.071,0.07000000000000001,0.097
9192631725,0.079,62.372,67.746,0.067,0.099
9192631725.200001,0.078,61.159,66.29900000000001,0.063,0.097
9192631725.4,0.074,64.54000000000001,69.705,0.056,0.08799999999999999
9192631725.6,0.079,57.26,62.161,0.056,0.095
9192631725.799999,0.077,59.4,64.354,0.07000000000000001,0.092
9192631726,0.079,60.344,65.497,0.063,0.099
9192631726.200001,0.075,60.719,65.607,0.067,0.08699999999999999
9192631726.4,0.078,59.411,64.44,0.067,0.096
9192631726.6,0.078,55.42,60.084,0.058,0.093
9192631726.799999,0.08,59.242,64.36199999999999,0.07000000000000001,0.099
9192631727,0.077,63.359,68.663,0.07099999999999999,0.092
9192631727.200001,0.078,58.404,63.331,0.06900000000000001,0.091
9192631727.4,0.078,60.828,65.994,0.07000000000000001,0.095
9192631727.6,0.075,61.301,66.289,0.07199999999999999,0.09
9192631727.799999,0.078,53.792,58.33,0.064,0.093
9192631728,0.076,59.164,63.997,0.062,0.08599999999999999
9192631728.200001,0.077,57.371,62.164,0.062,0.089
9192631728.4,0.079,57.157,62.077,0.07099999999999999,0.099
9192631728.6,0.079,57.34,62.233,0.064,0.095
9192631728.799999,0.079,54.365,59.025,0.068,0.093
9192631729,0.081,56.192,61.147,0.067,0.099
9192631729.200001,0.08,58.092,63.124,0.068,0.1
9192631729.4,0.081,57.151,62.185,0.075,0.099
9192631729.6,0.081,58.13,63.267,0.07000000000000001,0.103
9192631729.799999,0.081,52.123,56.69,0.062,0.097
9192631730,0.078,51.335,55.682,0.07000000000000001,0.094
9192631730.200001,0.081,56.34,61.332,0.074,0.1
9192631730.4,0.08,51.269,55.736,0.073,0.094
9192631730.6,0.083,53.55,58.369,0.07000000000000001,0.102
9192631730.799999,0.081,52.11,56.733,0.07199999999999999,0.095
9192631731,0.081,48.662,52.941,0.067,0.097
9192631731.200001,0.08400000000000001,50.365,54.959,0.07000000000000001,0.102
9192631731.4,0.082,52.983,57.72,0.064,0.099
9192631731.6,0.08,51.804,56.284,0.06900000000000001,0.096
9192631731.799999,0.081,53.923,58.647,0.073,0.095
9192631732,0.082,51.891,56.512,0.06900000000000001,0.097
9192631732.200001,0.082,52.419,57.11,0.077,0.099
9192631732.4,0.083,51.466,56.103,0.07099999999999999,0.102
9192631732.6,0.082,51.64,56.226,0.082,0.101
9192631732.799999,0.082,52.145,56.79,0.076,0.099
9192631733,0.083,53.194,58.008,0.075,0.098
9192631733.200001,0.08500000000000001,47.408,51.806,0.07199999999999999,0.101
9192631733.4,0.081,53.23,57.949,0.077,0.091
9192631733.6,0.083,44.473,48.474,0.051,0.097
9192631733.799999,0.081,44.884,48.865,0.06,0.092
9192631734,0.081,48.459,52.735,0.059,0.097
9192631734.200001,0.082,48.247,52.561,0.06,0.094
9192631734.4,0.083,50.136,54.665,0.065,0.097
9192631734.6,0.083,51.252,55.87,0.065,0.092
9192631734.799999,0.08500000000000001,53.768,58.779,0.07000000000000001,0.101
9192631735,0.08699999999999999,47.405,51.903,0.066,0.105
9192631735.200001,0.08500000000000001,45.586,49.844,0.077,0.103
9192631735.4,0.08599999999999999,49.347,53.966,0.081,0.101
9192631735.6,0.089,51.825,56.918,0.082,0.112
9192631735.799999,0.08500000000000001,50.858,55.594,0.079,0.103
9192631736,0.083,52.892,57.699,0.07000000000000001,0.098
9192631736.200001,0.08599999999999999,52.869,57.839,0.08,0.104
9192631736.4,0.08699999999999999,51.794,56.74,0.074,0.104
9192631736.6,0.08699999999999999,51.96,56.911,0.073,0.102
9192631736.799999,0.08400000000000001,50.348,54.959,0.063,0.101
9192631737,0.08500000000000001,52.111,56.931,0.061,0.098
9192631737.200001,0.08599999999999999,54.128,59.247,0.062,0.098
9192631737.4,0.08599999999999999,51.327,56.173,0.073,0.1
9192631737.6,0.08599999999999999,53.761,58.81,0.067,0.103
9192631737.799999,0.091,58.08,63.904,0.08400000000000001,0.114
9192631738,0.09,60.267,66.215,0.083,0.107
9192631738.200001,0.091,52.557,57.834,0.08799999999999999,0.11
9192631738.4,0.089,52.378,57.524,0.089,0.109
9192631738.6,0.089,59.513,65.325,0.083,0.106
9192631738.799999,0.089,62.1,68.17700000000001,0.08500000000000001,0.104
9192631739,0.08799999999999999,59.462,65.22199999999999,0.082,0.104
9192631739.200001,0.09,53.442,58.698,0.082,0.103
9192631739.4,0.08699999999999999,54.429,59.643,0.074,0.101
9192631739.6,0.08799999999999999,61.695,67.637,0.073,0.11
9192631739.799999,0.089,60.356,66.25700000000001,0.07199999999999999,0.107
9192631740,0.08599999999999999,63.65,69.658,0.068,0.103
9192631740.200001,0.08699999999999999,63.708,69.77,0.08,0.1
9192631740.4,0.08699999999999999,57.413,62.869,0.078,0.103
9192631740.6,0.091,62.727,68.991,0.08500000000000001,0.108
9192631740.799999,0.092,64.2,70.67400000000001,0.08400000000000001,0.11
9192631741,0.094,60.326,66.54900000000001,0.093,0.115
9192631741.200001,0.094,57.645,63.648,0.097,0.113
9192631741.4,0.095,65.32299999999999,72.145,0.093,0.114
9192631741.6,0.094,62.351,68.822,0.097,0.109
9192631741.799999,0.093,65.967,72.748,0.09,0.113
9192631742,0.091,63.556,69.953,0.082,0.112
9192631742.200001,0.08699999999999999,68.241,74.76000000000001,0.07199999999999999,0.107
9192631742.4,0.091,63.433,69.774,0.068,0.111
9192631742.6,0.089,63.279,69.47799999999999,0.067,0.112
9192631742.799999,0.08500000000000001,67.753,74.08499999999999,0.064,0.102
9192631743,0.08400000000000001,64.367,70.245,0.067,0.099
9192631743.200001,0.092,63.487,69.901,0.076,0.112
9192631743.4,0.093,67.10299999999999,74.009,0.08400000000000001,0.113
9192631743.6,0.098,67.14400000000001,74.46299999999999,0.09,0.121
9192631743.799999,0.096,68.011,75.224,0.08699999999999999,0.115
9192631744,0.097,62.994,69.754,0.097,0.117
9192631744.200001,0.097,66.416,73.53,0.102,0.116
9192631744.4,0.098,68.46299999999999,75.90000000000001,0.094,0.119
9192631744.6,0.096,68.015,75.203,0.08799999999999999,0.12
9192631744.799999,0.098,68.361,75.751,0.09,0.122
9192631745,0.089,68.81399999999999,75.533,0.08500000000000001,0.107
9192631745.200001,0.09,64.69,71.122,0.07099999999999999,0.112
9192631745.4,0.08699999999999999,68.675,75.19799999999999,0.067,0.102
9192631745.6,0.09,67.087,73.761,0.07099999999999999,0.114
9192631745.799999,0.08699999999999999,66.616,72.997,0.064,0.105
9192631746,0.092,71.52800000000001,78.818,0.076,0.117
9192631746.200001,0.095,68.602,75.83199999999999,0.075,0.115
9192631746.4,0.101,69.20399999999999,77.006,0.091,0.124
9192631746.6,0.102,69.23099999999999,77.066,0.1,0.127
9192631746.799999,0.104,64.851,72.39100000000001,0.106,0.127
9192631747,0.105,67.77,75.729,0.109,0.124
9192631747.200001,0.109,64.83499999999999,72.78100000000001,0.107,0.142
9192631747.4,0.1,70.76900000000001,78.673,0.1,0.119
9192631747.6,0.1,70.541,78.41200000000001,0.101,0.123
9192631747.799999,0.096,70.732,78.20399999999999,0.083,0.121
9192631748,0.093,70.199,77.402,0.08400000000000001,0.112
9192631748.200001,0.095,67.125,74.14700000000001,0.073,0.123
9192631748.4,0.09,69.31100000000001,76.161,0.067,0.117
9192631748.6,0.092,69.5,76.503,0.073,0.118
9192631748.799999,0.092,66.935,73.709,0.082,0.114
9192631749,0.096,67.67,74.84699999999999,0.08400000000000001,0.115
9192631749.200001,0.102,69.964,77.914,0.08500000000000001,0.124
9192631749.4,0.104,68.15300000000001,76.08199999999999,0.091,0.128
9192631749.6,0.112,66.233,74.601,0.116,0.135
9192631749.799999,0.113,66.631,75.133,0.108,0.139
9192631750,0.113,63.155,71.19799999999999,0.113,0.14
9192631750.200001,0.115,67.56399999999999,76.367,0.122,0.138
9192631750.4,0.105,69.642,77.78400000000001,0.095,0.122
9192631750.6,0.101,67.018,74.58499999999999,0.096,0.124
9192631750.799999,0.099,64.16500000000001,71.17700000000001,0.082,0.117
9192631751,0.095,66.25,73.167,0.07000000000000001,0.127
9192631751.200001,0.089,65.13200000000001,71.52,0.063,0.114
9192631751.4,0.089,67.28400000000001,73.874,0.068,0.113
9192631751.6,0.09,66.227,72.791,0.067,0.108
9192631751.799999,0.101,59.781,66.486,0.079,0.121
9192631752,0.103,67.167,74.876,0.08699999999999999,0.123
9192631752.200001,0.112,60.7,68.328,0.102,0.129
9192631752.4,0.113,58.284,65.688,0.107,0.126
9192631752.6,0.116,57.448,65.015,0.119,0.134
9192631752.799999,0.12,62.333,70.851,0.125,0.141
9192631753,0.121,60.515,68.879,0.109,0.14
9192631753.200001,0.114,63.786,71.964,0.113,0.131
9192631753.4,0.112,56.282,63.415,0.112,0.13
9192631753.6,0.099,60.164,66.792,0.09,0.116
9192631753.799999,0.095,62.832,69.42,0.076,0.115
9192631754,0.089,61.891,67.90900000000001,0.083,0.109
9192631754.200001,0.08699999999999999,58.834,64.43600000000001,0.063,0.101
9192631754.4,0.08599999999999999,57.609,63.005,0.07099999999999999,0.103
9192631754.6,0.091,59.625,65.58199999999999,0.078,0.109
9192631754.799999,0.11,54.812,61.588,0.104,0.123
9192631755,0.117,58.985,66.81100000000001,0.113,0.133
9192631755.200001,0.12,54.428,61.821,0.116,0.136
9192631755.4,0.12,56.516,64.259,0.114,0.138
9192631755.6,0.128,49.022,56.217,0.129,0.146
9192631755.799999,0.127,55.062,63.066,0.126,0.144
9192631756,0.125,52.811,60.385,0.122,0.145
9192631756.200001,0.119,47.98,54.488,0.11,0.131
9192631756.4,0.113,55.774,62.854,0.101,0.13
9192631756.6,0.098,51.5,57.076,0.078,0.11
9192631756.799999,0.092,58.32,64.239,0.07099999999999999,0.105
9192631757,0.08799999999999999,51.27,56.217,0.07099999999999999,0.103
9192631757.200001,0.08599999999999999,51.77,56.655,0.075,0.1
9192631757.4,0.08799999999999999,53.35,58.49,0.077,0.101
9192631757.6,0.096,52.983,58.595,0.08,0.112
9192631757.799999,0.108,54.553,61.184,0.103,0.125
9192631758,0.117,47.053,53.31,0.116,0.135
9192631758.200001,0.128,48.298,55.377,0.125,0.142
9192631758.4,0.132,49.962,57.59,0.135,0.145
9192631758.6,0.136,49.441,57.202,0.137,0.151
9192631758.799999,0.135,49.685,57.43,0.13,0.152
9192631759,0.125,45.58,52.062,0.117,0.141
9192631759.200001,0.112,49.756,56.054,0.1,0.131
9192631759.4,0.1,54.374,60.425,0.08400000000000001,0.111
9192631759.6,0.098,50.985,56.549,0.09,0.111
9192631759.799999,0.091,52.234,57.447,0.07199999999999999,0.103
9192631760,0.083,51.95,56.668,0.067,0.099
9192631760.200001,0.081,46.19,50.271,0.07099999999999999,0.093
9192631760.4,0.093,46.933,51.754,0.078,0.108
9192631760.6,0.11,49.256,55.33,0.097,0.128
9192631760.799999,0.119,47.289,53.649,0.114,0.136
9192631761,0.134,45.034,51.997,0.124,0.151
9192631761.200001,0.138,45.749,53.095,0.134,0.155
9192631761.4,0.138,45.786,53.115,0.134,0.154
9192631761.6,0.138,44.101,51.182,0.132,0.151
9192631761.799999,0.136,46.101,53.365,0.136,0.151
9192631762,0.123,45.883,52.344,0.108,0.139
9192631762.200001,0.102,49.939,55.597,0.08500000000000001,0.116
9192631762.4,0.096,49.552,54.82,0.08400000000000001,0.106
9192631762.6,0.083,45.629,49.736,0.074,0.094
9192631762.799999,0.08500000000000001,48.42,52.922,0.075,0.099
9192631763,0.083,50.565,55.121,0.07099999999999999,0.096
9192631763.200001,0.08699999999999999,53.039,58.089,0.074,0.104
9192631763.4,0.101,49.275,54.804,0.089,0.115
9192631763.6,0.122,49.589,56.461,0.108,0.14
9192631763.799999,0.13,45.822,52.688,0.124,0.144
9192631764,0.142,47.318,55.133,0.129,0.156
9192631764.200001,0.142,41.645,48.523,0.143,0.159
9192631764.4,0.145,44.693,52.263,0.137,0.154
9192631764.6,0.14,47.986,55.806,0.133,0.154
9192631764.799999,0.131,50.975,58.639,0.12,0.147
9192631765,0.12,48.735,55.41,0.106,0.136
9192631765.200001,0.098,51.445,57.043,0.08699999999999999,0.11
9192631765.4,0.08799999999999999,49.523,54.326,0.07099999999999999,0.11
9192631765.6,0.083,51.891,56.576,0.073,0.102
9192631765.799999,0.081,55.368,60.257,0.073,0.098
9192631766,0.08799999999999999,58.027,63.61,0.074,0.101
9192631766.200001,0.102,57.346,63.858,0.096,0.119
9192631766.4,0.104,57.941,64.66200000000001,0.097,0.123
9192631766.6,0.127,57.617,65.98399999999999,0.115,0.142
9192631766.799999,0.139,49.592,57.599,0.137,0.153
9192631767,0.148,56.544,66.355,0.143,0.165
9192631767.200001,0.149,52.755,61.959,0.138,0.169
9192631767.4,0.145,58.318,68.19499999999999,0.136,0.166
9192631767.6,0.134,58.474,67.527,0.125,0.152
9192631767.799999,0.117,56.534,64.051,0.109,0.134
9192631768,0.099,56.963,63.197,0.08400000000000001,0.115
9192631768.200001,0.08599999999999999,56.582,61.903,0.067,0.104
9192631768.4,0.08599999999999999,58.565,64.063,0.075,0.104
9192631768.6,0.08,61.818,67.199,0.068,0.099
9192631768.799999,0.082,60.806,66.261,0.073,0.104
9192631769,0.095,62.176,68.714,0.082,0.114
9192631769.200001,0.11,60.247,67.67400000000001,0.099,0.126
9192631769.4,0.126,58.327,66.73699999999999,0.119,0.14
9192631769.6,0.132,63.155,72.78400000000001,0.126,0.148
9192631769.799999,0.145,52.724,61.648,0.13,0.165
9192631770,0.147,58.915,69.08499999999999,0.134,0.164
9192631770.200001,0.148,62.293,73.127,0.142,0.163
9192631770.4,0.144,62.233,72.693,0.138,0.165
9192631770.6,0.13,64.03100000000001,73.636,0.117,0.145
9192631770.799999,0.108,66.628,74.685,0.104,0.126
9192631771,0.095,64.39400000000001,71.126,0.08500000000000001,0.115
9192631771.200001,0.083,62.685,68.35599999999999,0.07000000000000001,0.109
9192631771.4,0.079,67.172,72.904,0.06900000000000001,0.101
9192631771.6,0.08400000000000001,69.181,75.548,0.076,0.103
9192631771.799999,0.092,68.861,75.875,0.078,0.112
9192631772,0.106,68.074,76.105,0.099,0.126
9192631772.200001,0.128,61.461,70.48699999999999,0.123,0.147
9192631772.4,0.13,66.559,76.492,0.115,0.149
9192631772.6,0.141,61.819,72.003,0.138,0.158
9192631772.799999,0.148,66.758,78.374,0.144,0.169
9192631773,0.146,62.362,73.039,0.135,0.167
9192631773.200001,0.131,69.126,79.517,0.126,0.147
9192631773.4,0.119,66.623,75.601,0.109,0.139
9192631773.6,0.114,64.849,73.181,0.099,0.133
9192631773.799999,0.095,69.441,76.771,0.08400000000000001,0.12
9192631774,0.093,70.72799999999999,78.021,0.08500000000000001,0.116
9192631774.200001,0.081,73.54000000000001,80.023,0.065,0.097
9192631774.4,0.083,71.84999999999999,78.328,0.065,0.106
9192631774.6,0.08500000000000001,70.333,76.842,0.07099999999999999,0.107
9192631774.799999,0.101,70.282,78.164,0.089,0.122
9192631775,0.114,68.852,77.738,0.099,0.138
9192631775.200001,0.13,66.28700000000001,76.20999999999999,0.122,0.147
9192631775.4,0.141,65.35599999999999,76.081,0.135,0.16
9192631775.6,0.142,65.50700000000001,76.386,0.135,0.159
9192631775.799999,0.143,65.38200000000001,76.262,0.14,0.166
9192631776,0.134,63.604,73.411,0.125,0.149
9192631776.200001,0.13,65.458,75.27200000000001,0.129,0.148
9192631776.4,0.11,65.56,73.67400000000001,0.093,0.126
9192631776.6,0.104,67.627,75.48399999999999,0.092,0.123
9192631776.799999,0.092,68.57599999999999,75.502,0.08599999999999999,0.116
9192631777,0.082,67.28100000000001,73.279,0.06900000000000001,0.1
9192631777.200001,0.081,71.36799999999999,77.66500000000001,0.073,0.098
9192631777.4,0.08400000000000001,70.712,77.215,0.07199999999999999,0.104
9192631777.6,0.091,63.965,70.378,0.08,0.113
9192631777.799999,0.106,66.313,74.188,0.093,0.122
9192631778,0.115,63.012,71.212,0.101,0.135
9192631778.200001,0.132,65.48099999999999,75.42400000000001,0.119,0.145
9192631778.4,0.14,60.418,70.26000000000001,0.134,0.159
9192631778.6,0.14,62.279,72.444,0.139,0.161
9192631778.799999,0.138,63.342,73.523,0.132,0.161
9192631779,0.129,67.24299999999999,77.17,0.127,0.149
9192631779.200001,0.121,62.097,70.67,0.112,0.136
9192631779.4,0.111,62.818,70.663,0.1,0.129
9192631779.6,0.098,65.49299999999999,72.621,0.092,0.115
9192631779.799999,0.08599999999999999,66.256,72.495,0.077,0.107
9192631780,0.083,62.265,67.91800000000001,0.066,0.102
9192631780.200001,0.08699999999999999,65.624,71.858,0.07199999999999999,0.107
9192631780.4,0.095,61.278,67.738,0.07199999999999999,0.112
9192631780.6,0.1,60.032,66.678,0.075,0.116
9192631780.799999,0.115,60.294,68.101,0.107,0.13
9192631781,0.125,57.315,65.482,0.118,0.139
9192631781.200001,0.133,61.534,70.97,0.133,0.15
9192631781.4,0.135,55.979,64.74299999999999,0.134,0.154
9192631781.6,0.128,59.339,68.08199999999999,0.127,0.144
9192631781.799999,0.126,60.455,69.206,0.125,0.143
9192631782,0.115,61.33,69.274,0.111,0.13
9192631782.200001,0.105,59.852,66.861,0.096,0.121
9192631782.4,0.092,61.456,67.64700000000001,0.079,0.11
9192631782.6,0.08599999999999999,61.204,66.98,0.075,0.1
9192631782.799999,0.089,57.108,62.667,0.061,0.106
9192631783,0.08400000000000001,58.581,63.956,0.058,0.096
9192631783.200001,0.093,59.315,65.419,0.074,0.109
9192631783.4,0.105,53.57,59.855,0.08500000000000001,0.119
9192631783.6,0.115,57.99,65.48999999999999,0.107,0.13
9192631783.799999,0.121,55.763,63.424,0.123,0.134
9192631784,0.126,55.365,63.346,0.121,0.143
9192631784.200001,0.127,55.098,63.128,0.127,0.145
9192631784.4,0.128,52.466,60.194,0.122,0.142
9192631784.6,0.122,53.654,61.077,0.121,0.138
9192631784.799999,0.118,50.667,57.423,0.109,0.136
9192631785,0.112,54.716,61.628,0.108,0.13
9192631785.200001,0.099,55.127,61.158,0.074,0.112
9192631785.4,0.093,56.709,62.534,0.082,0.11
9192631785.6,0.089,54.379,59.688,0.07000000000000001,0.103
9192631785.799999,0.08500000000000001,57.927,63.333,0.077,0.097
9192631786,0.08599999999999999,54.162,59.26,0.074,0.097
9192631786.200001,0.093,48.076,53.024,0.068,0.113
9192631786.4,0.111,48.393,54.445,0.106,0.128
9192631786.6,0.11,47.157,52.996,0.095,0.121
9192631786.799999,0.116,49.701,56.217,0.112,0.13
9192631787,0.121,52.918,60.199,0.119,0.138
9192631787.200001,0.119,51.446,58.377,0.123,0.133
9192631787.4,0.119,50.276,57.061,0.115,0.136
9192631787.6,0.113,48.502,54.675,0.119,0.128
9192631787.799999,0.104,48.779,54.46,0.102,0.117
9192631788,0.099,50.151,55.677,0.08599999999999999,0.114
9192631788.200001,0.097,50.422,55.81,0.083,0.117
9192631788.4,0.08699999999999999,51.147,56.005,0.066,0.1
9192631788.6,0.08799999999999999,52.263,57.313,0.068,0.101
