"Frequency","Prob.","C","D","E","F"
9192631695,0.081,66.511,72.376,0.07099999999999999,0.105
9192631695.200001,0.079,58.553,63.598,0.065,0.097
9192631695.4,0.078,58.43,63.373,0.06900000000000001,0.097
9192631695.6,0.077,60.337,65.401,0.067,0.094
9192631695.799999,0.076,61.252,66.26000000000001,0.066,0.092
9192631696,0.079,57.546,62.488,0.068,0.103
9192631696.200001,0.075,60.089,64.94799999999999,0.06900000000000001,0.08599999999999999
9192631696.4,0.077,57.746,62.571,0.063,0.096
9192631696.6,0.074,58.879,63.612,0.061,0.08699999999999999
9192631696.799999,0.078,56.841,61.68,0.056,0.099
9192631697,0.076,59.794,64.712,0.065,0.098
9192631697.200001,0.079,54.356,59.009,0.07099999999999999,0.099
9192631697.4,0.075,54.877,59.306,0.067,0.092
9192631697.6,0.077,53.627,58.098,0.066,0.09
9192631697.799999,0.074,51.756,55.885,0.062,0.08799999999999999
9192631698,0.075,55.547,60.04,0.06900000000000001,0.08799999999999999
9192631698.200001,0.075,55.764,60.263,0.061,0.09
9192631698.4,0.077,55.794,60.461,0.068,0.092
9192631698.6,0.081,52.359,56.98,0.067,0.101
9192631698.799999,0.076,49.743,53.854,0.061,0.089
9192631699,0.076,49.631,53.724,0.066,0.08799999999999999
9192631699.200001,0.079,51.355,55.764,0.06900000000000001,0.094
9192631699.4,0.075,55.42,59.897,0.064,0.08500000000000001
9192631699.6,0.079,47.287,51.334,0.067,0.093
9192631699.799999,0.076,53.893,58.323,0.066,0.091
9192631700,0.074,51.482,55.589,0.068,0.091
9192631700.200001,0.077,48.375,52.401,0.058,0.092
9192631700.4,0.079,48.066,52.198,0.07000000000000001,0.097
9192631700.6,0.073,50.795,54.813,0.058,0.08599999999999999
9192631700.799999,0.078,47.875,51.946,0.064,0.096
9192631701,0.076,47.486,51.412,0.057,0.092
9192631701.200001,0.075,51.922,56.118,0.064,0.08799999999999999
9192631701.4,0.074,53.15,57.399,0.063,0.08400000000000001
9192631701.6,0.078,46.402,50.341,0.07000000000000001,0.094
9192631701.799999,0.075,50.983,55.091,0.058,0.089
9192631702,0.075,50.61,54.711,0.063,0.091
9192631702.200001,0.073,46.204,49.834,0.06,0.08
9192631702.4,0.073,50.775,54.774,0.067,0.08599999999999999
9192631702.6,0.075,51.437,55.609,0.064,0.089
9192631702.799999,0.078,51.381,55.702,0.061,0.098
9192631703,0.077,49.762,53.926,0.061,0.08799999999999999
9192631703.200001,0.075,49.424,53.446,0.059,0.091
9192631703.4,0.07199999999999999,48.844,52.658,0.07199999999999999,0.079
9192631703.6,0.07099999999999999,52.746,56.761,0.065,0.077
9192631703.799999,0.078,47.882,51.916,0.063,0.092
9192631704,0.076,51.245,55.447,0.065,0.093
9192631704.200001,0.076,48.403,52.384,0.07000000000000001,0.094
9192631704.4,0.076,45.974,49.75,0.064,0.094
9192631704.6,0.075,44.154,47.731,0.06900000000000001,0.08599999999999999
9192631704.799999,0.078,46.928,50.924,0.064,0.094
9192631705,0.075,51.598,55.81,0.064,0.093
9192631705.200001,0.075,51.372,55.51,0.064,0.08400000000000001
9192631705.4,0.075,49.742,53.76,0.064,0.089
9192631705.6,0.079,50.57,54.888,0.066,0.092
9192631705.799999,0.079,48.481,52.625,0.058,0.097
9192631706,0.078,46.68,50.602,0.07000000000000001,0.095
9192631706.200001,0.077,48.207,52.204,0.063,0.09
9192631706.4,0.077,49.229,53.333,0.064,0.091
9192631706.6,0.076,47.959,51.927,0.076,0.08799999999999999
9192631706.799999,0.073,47.534,51.286,0.056,0.089
9192631707,0.075,49.387,53.371,0.061,0.089
9192631707.200001,0.074,52.598,56.776,0.063,0.08799999999999999
9192631707.4,0.076,50.106,54.247,0.058,0.092
9192631707.6,0.075,56.998,61.635,0.067,0.08500000000000001
9192631707.799999,0.076,55.115,59.648,0.066,0.089
9192631708,0.077,57.747,62.561,0.068,0.08599999999999999
9192631708.200001,0.079,54.792,59.472,0.07199999999999999,0.095
9192631708.4,0.077,55.565,60.191,0.066,0.095
9192631708.6,0.078,52.813,57.256,0.063,0.095
9192631708.799999,0.075,55.32,59.794,0.06,0.093
9192631709,0.077,53.708,58.212,0.074,0.091
9192631709.200001,0.077,59.09,64.038,0.064,0.09
9192631709.4,0.078,56.011,60.768,0.063,0.099
