"Frequency","Prob."
9192631778.4,-0.314
9192631778.6,-0.296
9192631778.799999,-0.298
9192631779,-0.324
9192631779.200001,-0.359
9192631779.4,-0.368
9192631779.6,-0.391
9192631779.799999,-0.395
9192631780,-0.411
9192631780.200001,-0.406
9192631780.4,-0.401
9192631780.6,-0.372
9192631780.799999,-0.359
9192631781,-0.314
9192631781.200001,-0.306
9192631781.4,-0.307
9192631781.6,-0.311
9192631781.799999,-0.332
9192631782,-0.317
9192631782.200001,-0.352
9192631782.4,-0.382
9192631782.6,-0.387
9192631782.799999,-0.405
9192631783,-0.404
9192631783.200001,-0.393
9192631783.4,-0.372
9192631783.6,-0.364
9192631783.799999,-0.327
9192631784,-0.319
9192631784.200001,-0.332
9192631784.4,-0.321
9192631784.6,-0.328
9192631784.799999,-0.347
9192631785,-0.356
9192631785.200001,-0.383
9192631785.4,-0.389
9192631785.6,-0.403
9192631785.799999,-0.402
9192631786,-0.389
9192631786.200001,-0.391
9192631786.4,-0.376
9192631786.6,-0.367
9192631786.799999,-0.339
9192631787,-0.331
9192631787.200001,-0.332
9192631787.4,-0.343
9192631787.6,-0.351
9192631787.799999,-0.36
9192631788,-0.376
9192631788.200001,-0.383
9192631788.4,-0.394
9192631788.6,-0.397
9192631788.799999,-0.395
9192631789,-0.387
9192631789.200001,-0.378
9192631789.4,-0.36
9192631789.6,-0.354
9192631789.799999,-0.356
9192631790,-0.351
9192631790.200001,-0.352
9192631790.4,-0.353
9192631790.6,-0.355
9192631790.799999,-0.37
9192631791,-0.384
9192631791.200001,-0.382
9192631791.4,-0.391
9192631791.6,-0.393
9192631791.799999,-0.384
9192631792,-0.373
9192631792.200001,-0.377
9192631792.4,-0.37
9192631792.6,-0.369
9192631792.799999,-0.362
9192631793,-0.363
9192631793.200001,-0.371
9192631793.4,-0.374
9192631793.6,-0.38
9192631793.799999,-0.38
9192631794,-0.392
9192631794.200001,-0.388
9192631794.4,-0.396
9192631794.6,-0.394
9192631794.799999,-0.387
9192631795,-0.378
9192631795.200001,-0.386
9192631795.4,-0.379
9192631795.6,-0.373
9192631795.799999,-0.377
9192631796,-0.374
9192631796.200001,-0.379
9192631796.4,-0.382
9192631796.6,-0.381
9192631796.799999,-0.387
9192631797,-0.398
9192631797.200001,-0.395
9192631797.4,-0.39
9192631797.6,-0.393
9192631797.799999,-0.391
9192631798,-0.385
9192631798.200001,-0.389
9192631798.4,-0.389
9192631798.6,-0.385
9192631798.799999,-0.389
9192631799,-0.393
9192631799.200001,-0.384
9192631799.4,-0.391
9192631799.6,-0.391
9192631799.799999,-0.395
9192631800,-0.394
9192631800.200001,-0.397
9192631800.4,-0.395
9192631800.6,-0.395
9192631800.799999,-0.398
9192631801,-0.396
9192631801.200001,-0.396
9192631801.4,-0.401
9192631801.6,-0.396
9192631801.799999,-0.397
9192631802,-0.4
9192631802.200001,-0.397
9192631802.4,-0.402
9192631802.6,-0.397
9192631802.799999,-0.398
9192631803,-0.406
9192631803.200001,-0.403
9192631803.4,-0.403
9192631803.6,-0.401
9192631803.799999,-0.404
9192631804,-0.402
9192631804.200001,-0.405
9192631804.4,-0.402
9192631804.6,-0.407
9192631804.799999,-0.408
9192631805,-0.408
9192631805.200001,-0.402
9192631805.4,-0.413
9192631805.6,-0.409
9192631805.799999,-0.407
9192631806,-0.403
9192631806.200001,-0.407
9192631806.4,-0.405
9192631806.6,-0.403
9192631806.799999,-0.409
9192631807,-0.405
9192631807.200001,-0.414
9192631807.4,-0.411
9192631807.6,-0.412
9192631807.799999,-0.411
9192631808,-0.417
9192631808.200001,-0.415
9192631808.4,-0.414
9192631808.6,-0.41
9192631808.799999,-0.412
9192631809,-0.414
9192631809.200001,-0.41
9192631809.4,-0.414
9192631809.6,-0.412
9192631809.799999,-0.41
9192631810,-0.414
9192631810.200001,-0.415
9192631810.4,-0.41
9192631810.6,-0.421
9192631810.799999,-0.421
9192631811,-0.417
9192631811.200001,-0.416
9192631811.4,-0.415
9192631811.6,-0.416
9192631811.799999,-0.418
9192631812,-0.418
9192631812.200001,-0.421
9192631812.4,-0.419
9192631812.6,-0.421
9192631812.799999,-0.423
9192631813,-0.418
9192631813.200001,-0.419
9192631813.4,-0.42
9192631813.6,-0.419
9192631813.799999,-0.419
9192631814,-0.42
9192631814.200001,-0.42
9192631814.4,-0.424
9192631814.6,-0.421
9192631814.799999,-0.421
9192631815,-0.417
9192631815.200001,-0.424
9192631815.4,-0.422
9192631815.6,-0.427
9192631815.799999,-0.424
9192631816,-0.424
9192631816.200001,-0.424
9192631816.4,-0.422
9192631816.6,-0.426
9192631816.799999,-0.427
9192631817,-0.429
9192631817.200001,-0.422
9192631817.4,-0.43
9192631817.6,-0.425
9192631817.799999,-0.426
9192631818,-0.424
9192631818.200001,-0.426
9192631818.4,-0.427
9192631818.6,-0.426
9192631818.799999,-0.43
9192631819,-0.423
9192631819.200001,-0.429
9192631819.4,-0.429
9192631819.6,-0.428
9192631819.799999,-0.43
9192631820,-0.425
9192631820.200001,-0.427
9192631820.4,-0.43
9192631820.6,-0.43
9192631820.799999,-0.424
9192631821,-0.432
9192631821.200001,-0.431
9192631821.4,-0.426
9192631821.6,-0.43
9192631821.799999,-0.434
9192631822,-0.428
9192631822.200001,-0.425
9192631822.4,-0.42
9192631822.6,-0.425
9192631822.799999,-0.427
9192631823,-0.431
9192631823.200001,-0.429
9192631823.4,-0.427
9192631823.6,-0.432
9192631823.799999,-0.427
9192631824,-0.429
9192631824.200001,-0.424
9192631824.4,-0.428
9192631824.6,-0.427
9192631824.799999,-0.427
9192631825,-0.429
9192631825.200001,-0.425
9192631825.4,-0.421
9192631825.6,-0.427
9192631825.799999,-0.43
9192631826,-0.432
9192631826.200001,-0.423
9192631826.4,-0.427
9192631826.6,-0.425
9192631826.799999,-0.428
9192631827,-0.425
9192631827.200001,-0.426
9192631827.4,-0.428
9192631827.6,-0.426
9192631827.799999,-0.43
9192631828,-0.431
9192631828.200001,-0.426
9192631828.4,-0.431
9192631828.6,-0.431
9192631828.799999,-0.425
9192631829,-0.428
9192631829.200001,-0.424
9192631829.4,-0.423
9192631829.6,-0.425
9192631829.799999,-0.431
9192631830,-0.421
